time_s,ax_mss,ay_mss,az_mss,gx_rads,gy_rads,gz_rads
0.000000,0.007183,0.138864,9.854534,-0.000533,-0.001598,0.004261
0.002000,0.011971,0.138864,9.856928,-0.000533,-0.001598,0.004794
0.006000,0.014365,0.131681,9.849746,-0.001065,-0.001065,0.005326
0.008000,0.014365,0.138864,9.854534,-0.000533,-0.001065,0.005326
0.010000,0.011971,0.136469,9.849746,-0.000533,-0.001065,0.004794
0.012000,0.014365,0.134075,9.849746,-0.001065,-0.001065,0.004261
0.016000,0.011971,0.138864,9.856928,-0.001065,-0.001598,0.003728
0.018000,0.007183,0.129287,9.856928,-0.002131,-0.001598,0.004261
0.020000,0.019154,0.131681,9.859322,-0.002131,-0.002131,0.004261
0.022000,0.014365,0.136469,9.849746,-0.001598,-0.002131,0.004794
0.026000,0.009577,0.136469,9.854534,-0.001598,-0.001065,0.005326
0.028000,0.019154,0.146046,9.866505,-0.001065,-0.001598,0.005326
0.030000,0.014365,0.153229,9.859322,-0.001065,-0.001598,0.004794
0.032000,0.007183,0.150835,9.852140,-0.001598,-0.001598,0.004794
0.036000,0.019154,0.148441,9.852140,-0.001065,-0.000533,0.005326
0.038000,0.023942,0.129287,9.856928,-0.001065,-0.000533,0.005326
0.040000,0.028730,0.126893,9.861717,-0.001598,-0.001598,0.004794
0.042000,0.028730,0.138864,9.866505,-0.001598,-0.001598,0.004794
0.046000,0.019154,0.126893,9.856928,-0.001065,-0.001598,0.005326
0.048000,0.023942,0.129287,9.849746,-0.000533,-0.001065,0.005326
0.050000,0.028730,0.136469,9.849746,-0.000533,-0.001065,0.005859
0.052000,0.023942,0.134075,9.859322,-0.001065,-0.001065,0.005859
0.056000,0.028730,0.129287,9.861717,-0.001598,-0.001598,0.004794
0.058000,0.033519,0.131681,9.861717,-0.001065,-0.002131,0.005326
0.060000,0.026336,0.131681,9.856928,-0.000533,-0.001598,0.005326
0.062000,0.019154,0.131681,9.854534,-0.001065,-0.001065,0.005326
0.066000,0.028730,0.131681,9.847351,-0.002131,-0.001598,0.004261
0.068000,0.033519,0.131681,9.844957,-0.001598,-0.001598,0.004261
0.070000,0.038307,0.131681,9.852140,-0.001598,-0.001598,0.004261
0.072000,0.033519,0.136469,9.859322,-0.002663,-0.001065,0.004794
0.076000,0.021548,0.129287,9.859322,-0.001065,-0.000533,0.004794
0.078000,0.016759,0.129287,9.852140,-0.001065,-0.001065,0.005326
0.080000,0.019154,0.129287,9.844957,-0.001598,-0.000533,0.004794
0.082000,0.031125,0.126893,9.842563,-0.001598,-0.001065,0.004261
0.086000,0.035913,0.129287,9.854534,-0.002131,-0.001065,0.004794
0.088000,0.038307,0.129287,9.854534,-0.001598,-0.001065,0.004794
0.090000,0.035913,0.126893,9.852140,-0.001598,-0.001065,0.004261
0.092000,0.038307,0.126893,9.856928,-0.002131,-0.001065,0.004794
0.096000,0.019154,0.134075,9.854534,-0.002663,-0.001065,0.004261
0.098000,0.009577,0.138864,9.849746,-0.002131,-0.000533,0.004794
0.100000,0.014365,0.131681,9.842563,-0.002131,-0.000533,0.005326
0.102000,0.026336,0.124498,9.847351,-0.002663,-0.001065,0.004794
0.106000,0.035913,0.126893,9.861717,-0.003196,-0.000533,0.004794
0.108000,0.028730,0.129287,9.859322,-0.003196,-0.001065,0.004794
0.110000,0.019154,0.136469,9.861717,-0.002663,-0.001065,0.004794
0.112000,0.021548,0.134075,9.861717,-0.002663,-0.000533,0.004794
0.116000,0.016759,0.126893,9.859322,-0.002663,-0.001065,0.004261
0.118000,0.016759,0.136469,9.852140,-0.002131,-0.001598,0.005326
0.120000,0.021548,0.136469,9.852140,-0.002131,-0.001598,0.005326
0.122000,0.014365,0.129287,9.856928,-0.002663,-0.001065,0.004794
0.126000,0.011971,0.124498,9.859322,-0.002131,-0.000533,0.005326
0.128000,0.014365,0.129287,9.856928,-0.002663,-0.001065,0.004794
0.130000,0.014365,0.129287,9.852140,-0.002663,-0.001065,0.004261
0.132000,0.019154,0.124498,9.849746,-0.002663,-0.001598,0.005326
0.136000,0.016759,0.129287,9.847351,-0.002663,-0.001598,0.005326
0.138000,0.011971,0.129287,9.844957,-0.002131,-0.000533,0.004794
0.140000,0.002394,0.122104,9.854534,-0.001598,-0.000533,0.004261
0.142000,0.000000,0.119710,9.859322,-0.002131,-0.001065,0.003728
