time_s,ax_mss,ay_mss,az_mss,gx_rads,gy_rads,gz_rads
0.000000,0.009577,0.124498,9.844957,-0.002131,-0.001598,0.005859
0.002000,0.014365,0.119710,9.844957,-0.002131,-0.001598,0.006392
0.004000,0.014365,0.110133,9.844957,-0.002663,-0.002131,0.005859
0.006000,0.011971,0.114922,9.856928,-0.003196,-0.002131,0.005326
0.010000,0.014365,0.126893,9.854534,-0.002663,-0.000533,0.004261
0.012000,0.011971,0.122104,9.847351,-0.001598,-0.001598,0.004794
0.014000,0.011971,0.119710,9.852140,-0.001598,-0.002131,0.004794
0.016000,0.016759,0.117316,9.844957,-0.002131,-0.002131,0.005326
0.020000,0.021548,0.117316,9.837775,-0.002131,-0.002131,0.005326
0.022000,0.019154,0.119710,9.856928,-0.002663,-0.001598,0.004794
0.024000,0.016759,0.105345,9.856928,-0.001598,-0.001598,0.005326
0.026000,0.021548,0.100556,9.849746,-0.001598,-0.001065,0.005326
0.030000,0.016759,0.114922,9.847351,-0.002131,-0.001598,0.005859
0.032000,0.009577,0.117316,9.844957,-0.002663,-0.002131,0.005326
0.034000,0.011971,0.117316,9.854534,-0.002663,-0.001598,0.005859
0.036000,0.011971,0.114922,9.856928,-0.002663,-0.001598,0.006392
0.040000,0.009577,0.105345,9.852140,-0.002131,-0.001065,0.004794
0.042000,0.016759,0.107739,9.849746,-0.002131,-0.001065,0.005859
0.044000,0.016759,0.110133,9.849746,-0.003196,-0.001065,0.005326
0.046000,0.011971,0.117316,9.852140,-0.003196,-0.001598,0.004794
0.050000,0.019154,0.126893,9.847351,-0.002663,-0.002131,0.005326
0.052000,0.028730,0.122104,9.852140,-0.002131,-0.002131,0.005859
0.054000,0.019154,0.112527,9.854534,-0.002131,-0.001598,0.005859
0.056000,0.016759,0.105345,9.849746,-0.002663,-0.001598,0.004794
0.060000,0.023942,0.114922,9.856928,-0.002663,-0.001598,0.004794
0.062000,0.011971,0.114922,9.852140,-0.002663,-0.002131,0.005326
0.064000,0.002394,0.110133,9.849746,-0.002663,-0.002131,0.004794
0.066000,0.014365,0.105345,9.856928,-0.002663,-0.001065,0.004261
0.070000,0.028730,0.110133,9.849746,-0.002131,-0.001598,0.004794
0.072000,0.031125,0.117316,9.849746,-0.002131,-0.001065,0.005326
0.074000,0.023942,0.112527,9.854534,-0.002131,-0.001065,0.005326
0.076000,0.007183,0.105345,9.859322,-0.002131,-0.001598,0.005326
0.080000,0.011971,0.114922,9.856928,-0.002131,-0.001598,0.005859
