t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_C
521592,0.032,-0.132,0.990,-0.108,-0.117,0.345,25.18
521692,0.033,-0.134,0.990,-0.108,-0.117,0.345,25.14
521792,0.033,-0.135,0.990,-0.108,-0.117,0.345,25.17
521892,0.033,-0.132,0.992,-0.108,-0.056,0.345,25.17
521992,0.032,-0.134,0.991,-0.047,-0.056,0.345,25.12
522092,0.032,-0.136,0.991,-0.108,-0.056,0.406,25.17
522192,0.031,-0.132,0.999,-0.108,-0.117,0.345,25.09
522292,0.034,-0.131,0.989,-0.108,-0.056,0.406,25.12
522392,0.032,-0.133,0.999,-0.108,-0.117,0.345,25.17
522492,0.033,-0.135,0.988,-0.047,-0.117,0.345,25.12
522592,0.033,-0.135,0.989,-0.047,-0.117,0.345,25.14
522692,0.033,-0.132,0.991,-0.047,-0.117,0.345,25.11
522792,0.031,-0.133,0.991,-0.047,-0.056,0.345,25.15
522892,0.031,-0.133,0.991,-0.047,-0.117,0.345,25.12
522992,0.032,-0.136,0.992,-0.108,-0.117,0.345,25.18
523092,0.033,-0.135,0.991,-0.047,-0.056,0.345,25.20
523192,0.032,-0.135,0.992,-0.108,-0.117,0.345,25.18
523292,0.032,-0.135,0.992,-0.108,-0.117,0.406,25.18
523392,0.031,-0.135,1.000,-0.047,-0.117,0.345,25.15
523492,0.032,-0.133,0.991,-0.047,-0.117,0.345,25.20
523592,0.032,-0.132,0.992,-0.108,-0.117,0.345,25.17
523692,0.032,-0.133,0.992,-0.108,-0.056,0.345,25.15
523792,0.032,-0.134,0.993,-0.108,-0.056,0.345,25.21
523892,0.033,-0.135,0.991,-0.047,-0.117,0.284,25.18
523992,0.032,-0.134,1.000,-0.047,-0.117,0.345,25.14
524092,0.032,-0.135,0.990,-0.108,-0.117,0.345,25.20
524192,0.032,-0.134,0.991,-0.047,-0.117,0.345,25.23
524292,0.032,-0.135,0.992,-0.047,-0.117,0.345,25.14
524392,0.032,-0.135,0.992,-0.108,-0.056,0.345,25.24
524492,0.032,-0.132,0.991,-0.047,-0.056,0.406,25.23
524592,0.032,-0.134,1.000,-0.047,-0.056,0.345,25.15
524692,0.032,-0.134,0.990,-0.108,-0.056,0.345,25.18
524792,0.032,-0.134,0.990,-0.047,-0.056,0.406,25.17
524892,0.032,-0.132,1.000,-0.108,-0.056,0.345,25.12
524992,0.032,-0.135,0.990,-0.047,-0.056,0.345,25.14
525092,0.032,-0.132,0.990,-0.047,-0.117,0.345,25.17
525192,0.033,-0.135,0.991,-0.108,-0.117,0.345,25.15
525292,0.032,-0.133,0.990,-0.108,-0.056,0.345,25.20
525392,0.032,-0.133,0.992,-0.047,-0.056,0.345,25.17
525492,0.032,-0.132,0.991,-0.108,-0.056,0.345,25.21
525592,0.031,-0.134,0.991,-0.047,-0.056,0.406,25.17
525692,0.032,-0.135,0.999,-0.108,-0.117,0.345,25.12
525792,0.033,-0.135,0.989,-0.108,-0.117,0.345,25.12
525892,0.032,-0.133,0.989,-0.108,-0.056,0.345,25.11
525992,0.033,-0.133,0.990,-0.108,-0.117,0.345,25.17
526092,0.031,-0.132,0.991,-0.108,-0.117,0.345,25.17
526192,0.033,-0.135,0.991,-0.108,-0.117,0.345,25.20
526292,0.032,-0.135,0.991,-0.047,-0.056,0.345,25.21
526392,0.032,-0.133,0.993,-0.047,-0.117,0.345,25.17
526492,0.031,-0.133,0.992,0.014,-0.056,0.345,25.24
