time_s,ax_mss,ay_mss,az_mss,gx_rads,gy_rads,gz_rads
0.000000,0.033519,0.119710,9.866505,-0.003196,-0.001065,0.005859
0.002000,0.023942,0.122104,9.852140,-0.002131,-0.001598,0.004261
0.003000,0.023942,0.122104,9.854534,-0.002131,-0.001065,0.004261
0.004000,0.023942,0.122104,9.866505,-0.002131,-0.001065,0.004794
0.005000,0.023942,0.114922,9.859322,-0.001598,-0.001598,0.004794
0.007000,0.019154,0.117316,9.861717,-0.002663,-0.001598,0.004794
0.008000,0.023942,0.114922,9.861717,-0.002663,-0.001065,0.005326
0.009000,0.023942,0.114922,9.856928,-0.002131,-0.001065,0.005326
0.010000,0.019154,0.114922,9.859322,-0.002131,-0.001598,0.004794
0.012000,0.021548,0.114922,9.849746,-0.002131,-0.001065,0.004261
0.013000,0.021548,0.114922,9.859322,-0.002663,-0.001598,0.005326
0.014000,0.019154,0.117316,9.861717,-0.002663,-0.002131,0.005326
0.015000,0.019154,0.117316,9.861717,-0.003196,-0.002131,0.004261
0.017000,0.023942,0.110133,9.854534,-0.002131,-0.002663,0.004261
0.018000,0.021548,0.114922,9.859322,-0.002663,-0.002131,0.004794
0.019000,0.021548,0.119710,9.866505,-0.002663,-0.001598,0.004261
0.020000,0.019154,0.119710,9.861717,-0.002663,-0.001598,0.004261
0.022000,0.016759,0.119710,9.859322,-0.002131,-0.002663,0.005326
0.023000,0.011971,0.119710,9.852140,-0.002131,-0.002131,0.004794
0.024000,0.011971,0.112527,9.842563,-0.002131,-0.002131,0.004261
0.025000,0.019154,0.105345,9.844957,-0.002131,-0.002131,0.004794
0.027000,0.023942,0.117316,9.866505,-0.002131,-0.002131,0.004794
0.028000,0.016759,0.117316,9.883264,-0.002131,-0.002131,0.004794
0.029000,0.023942,0.119710,9.871293,-0.002663,-0.001598,0.004794
0.030000,0.031125,0.117316,9.847351,-0.002663,-0.002131,0.005326
0.032000,0.028730,0.112527,9.871293,-0.001598,-0.001065,0.004261
0.033000,0.033519,0.117316,9.871293,-0.002131,-0.001065,0.004261
0.034000,0.035913,0.119710,9.866505,-0.002131,-0.001598,0.005326
0.035000,0.038307,0.122104,9.861717,-0.002131,-0.001598,0.005859
0.037000,0.028730,0.119710,9.854534,-0.001598,-0.001598,0.005326
0.038000,0.023942,0.129287,9.844957,-0.001598,-0.002131,0.004794
0.039000,0.023942,0.122104,9.854534,-0.001598,-0.002663,0.004794
0.040000,0.023942,0.110133,9.866505,-0.001598,-0.002663,0.004794
0.042000,0.033519,0.122104,9.852140,-0.001598,-0.002131,0.004794
0.043000,0.028730,0.124498,9.847351,-0.001598,-0.001598,0.004794
0.044000,0.021548,0.117316,9.852140,-0.001065,-0.001598,0.004794
0.045000,0.026336,0.110133,9.854534,0.000000,-0.002131,0.004794
0.047000,0.031125,0.110133,9.854534,-0.001598,-0.001598,0.005326
0.048000,0.019154,0.110133,9.864111,-0.001598,-0.001598,0.004794
0.049000,0.014365,0.114922,9.880870,-0.001598,-0.002131,0.004794
0.050000,0.014365,0.119710,9.876082,-0.001598,-0.002131,0.004794
0.052000,0.026336,0.110133,9.885659,-0.001598,-0.002131,0.004794
0.053000,0.023942,0.110133,9.873688,-0.001598,-0.002131,0.004794
0.054000,0.023942,0.107739,9.844957,-0.002131,-0.001598,0.004794
0.055000,0.023942,0.114922,9.847351,-0.002131,-0.002131,0.004261
0.057000,0.016759,0.110133,9.840169,-0.002131,-0.002131,0.005859
0.058000,0.014365,0.117316,9.854534,-0.002131,-0.001598,0.004794
0.059000,0.016759,0.131681,9.878476,-0.001598,-0.001598,0.005326
0.060000,0.023942,0.122104,9.883264,-0.001598,-0.001598,0.005326
0.062000,0.028730,0.112527,9.866505,-0.001065,-0.002131,0.004261
0.063000,0.026336,0.114922,9.849746,-0.001598,-0.002663,0.004794
0.064000,0.023942,0.119710,9.861717,-0.001065,-0.002131,0.004261
0.065000,0.014365,0.124498,9.849746,-0.001065,-0.001065,0.004261
0.067000,0.011971,0.129287,9.856928,-0.002131,-0.001598,0.004261
0.068000,0.019154,0.136469,9.878476,-0.002131,-0.002131,0.004261
0.069000,0.026336,0.136469,9.866505,-0.002131,-0.002131,0.004261
0.070000,0.028730,0.138864,9.852140,-0.002131,-0.002663,0.004261
0.072000,0.023942,0.122104,9.837775,-0.001598,-0.001598,0.004794
0.073000,0.028730,0.126893,9.830592,-0.002131,-0.001598,0.004794
0.074000,0.026336,0.131681,9.832986,-0.002663,-0.002131,0.004794
0.075000,0.021548,0.129287,9.847351,-0.003196,-0.002131,0.004794
0.077000,0.028730,0.131681,9.844957,-0.003196,-0.001598,0.004794
0.078000,0.028730,0.126893,9.852140,-0.003196,-0.001065,0.004261
0.079000,0.028730,0.129287,9.871293,-0.002663,-0.001598,0.003728
0.080000,0.033519,0.131681,9.861717,-0.002131,-0.001598,0.004794
0.082000,0.026336,0.134075,9.861717,-0.003196,-0.000533,0.004261
0.083000,0.023942,0.143652,9.854534,-0.003196,-0.001065,0.003728
0.084000,0.028730,0.143652,9.835380,-0.003728,-0.001065,0.004794
0.085000,0.031125,0.131681,9.842563,-0.003728,-0.001065,0.005326
0.087000,0.033519,0.131681,9.859322,-0.002663,-0.001065,0.004794
0.088000,0.028730,0.134075,9.847351,-0.002131,-0.001065,0.005326
0.089000,0.023942,0.136469,9.847351,-0.002131,-0.001598,0.005326
0.090000,0.023942,0.141258,9.856928,-0.002131,-0.001598,0.005326
0.092000,0.028730,0.126893,9.859322,-0.003196,-0.001065,0.004261
0.093000,0.028730,0.119710,9.864111,-0.002663,-0.001065,0.004794
0.094000,0.023942,0.124498,9.864111,-0.002663,-0.001598,0.004794
0.095000,0.021548,0.126893,9.854534,-0.002663,-0.002131,0.004261
0.097000,0.023942,0.112527,9.854534,-0.003196,-0.001065,0.004261
0.098000,0.028730,0.117316,9.852140,-0.002663,-0.000533,0.004261
0.099000,0.026336,0.129287,9.849746,-0.002663,-0.001065,0.004261
0.100000,0.026336,0.122104,9.856928,-0.002663,-0.001598,0.005326
0.102000,0.023942,0.107739,9.859322,-0.003728,-0.002131,0.005326
0.103000,0.014365,0.114922,9.856928,-0.003196,-0.001598,0.004794
0.104000,0.019154,0.119710,9.861717,-0.003196,-0.001065,0.004794
0.105000,0.028730,0.110133,9.859322,-0.003196,-0.001598,0.004794
0.107000,0.019154,0.107739,9.866505,-0.002663,-0.002131,0.004261
0.108000,0.021548,0.114922,9.861717,-0.003196,-0.001598,0.004794
0.109000,0.023942,0.114922,9.856928,-0.003196,-0.001598,0.005326
0.110000,0.033519,0.119710,9.854534,-0.002663,-0.001598,0.004794
0.112000,0.031125,0.112527,9.854534,-0.003728,-0.000533,0.004261
0.113000,0.023942,0.105345,9.861717,-0.003196,0.000000,0.004794
0.114000,0.023942,0.105345,9.864111,-0.003196,-0.001065,0.004794
0.115000,0.026336,0.110133,9.861717,-0.003196,-0.001598,0.005859
0.117000,0.028730,0.119710,9.852140,-0.003196,-0.002131,0.005326
0.118000,0.023942,0.119710,9.854534,-0.002131,-0.002131,0.004794
0.119000,0.028730,0.119710,9.856928,-0.002131,-0.001598,0.004261
0.120000,0.031125,0.124498,9.849746,-0.002663,-0.001598,0.004261
0.122000,0.026336,0.119710,9.854534,-0.003196,-0.001065,0.005326
0.123000,0.031125,0.107739,9.859322,-0.003728,-0.001065,0.004794
0.124000,0.035913,0.107739,9.861717,-0.003196,-0.001065,0.004261
0.125000,0.035913,0.112527,9.859322,-0.002663,-0.001598,0.004261
0.127000,0.021548,0.114922,9.854534,-0.002663,-0.001598,0.005859
0.128000,0.023942,0.119710,9.854534,-0.003196,-0.001598,0.004261
0.129000,0.031125,0.122104,9.856928,-0.003196,-0.001598,0.003728
0.130000,0.031125,0.124498,9.856928,-0.002663,-0.001065,0.003728
0.132000,0.031125,0.122104,9.864111,-0.002131,-0.001598,0.004261
0.133000,0.033519,0.126893,9.856928,-0.002131,-0.002131,0.005326
0.134000,0.033519,0.124498,9.852140,-0.002131,-0.001598,0.005326
0.135000,0.033519,0.114922,9.852140,-0.002663,-0.001065,0.004794
0.137000,0.038307,0.114922,9.842563,-0.003196,-0.002131,0.005326
0.138000,0.028730,0.134075,9.849746,-0.003728,-0.002131,0.005326
0.139000,0.016759,0.136469,9.861717,-0.003196,-0.002131,0.004261
0.140000,0.019154,0.131681,9.856928,-0.002663,-0.002131,0.003728
0.142000,0.028730,0.131681,9.852140,-0.003196,-0.001065,0.004794
0.143000,0.028730,0.126893,9.859322,-0.002663,-0.001065,0.004794
0.144000,0.023942,0.126893,9.854534,-0.002663,-0.001065,0.005326
0.145000,0.019154,0.126893,9.849746,-0.003728,-0.001065,0.005859
0.147000,0.019154,0.122104,9.866505,-0.002663,-0.001598,0.004794
0.148000,0.016759,0.126893,9.864111,-0.003196,-0.001065,0.004794
0.149000,0.019154,0.124498,9.856928,-0.003196,-0.001065,0.005326
0.150000,0.016759,0.119710,9.861717,-0.002663,-0.001598,0.005859
0.152000,0.026336,0.126893,9.854534,-0.002663,-0.001065,0.004261
0.153000,0.019154,0.126893,9.849746,-0.002663,-0.001065,0.004794
0.154000,0.016759,0.124498,9.849746,-0.003196,-0.001065,0.004794
0.155000,0.019154,0.122104,9.854534,-0.003196,-0.001598,0.005326
0.157000,0.014365,0.117316,9.859322,-0.002663,-0.001598,0.005326
0.158000,0.011971,0.124498,9.847351,-0.003196,-0.001065,0.005326
0.159000,0.016759,0.129287,9.849746,-0.003196,-0.001065,0.004794
0.160000,0.016759,0.117316,9.861717,-0.003196,-0.001598,0.004261
0.162000,0.019154,0.117316,9.864111,-0.003196,-0.000533,0.005326
0.163000,0.026336,0.122104,9.854534,-0.003728,-0.001065,0.005326
